xfold,architecture,fold_desc
1051,alpha superhelices,Putative 3-oxoacyl-(acyl-carrier-protein) synthase N-terminal domain
6061,alpha arrays,Eukaryotic translation initiation factor 3 subunit 1
3931,alpha bundles,MtlR-like
3515,a+b two layers,ssDNA binding protein VirE2
1093,a+b two layers,DUF4479
4995,alpha arrays,Methionine synthase domain-like
4212,beta barrels,FimD N-terminal domain-like
3493,extended segments,Photosystem II PsbX protein
4342,alpha complex topology,Tex N-terminal region-like
6115,a+b three layers,AF1514-like
3604,a+b two layers,Uncharacterized protein MK0293 C-terminal domain
6075,alpha bundles,DisA helical linker domain
6073,beta barrels,MMP1218-like
3524,alpha arrays,Uncharacterized protein encoded by cryptic prophage
6057,beta sandwiches,Uncharacterized protein BAS0735
4295,beta barrels,Acetoacetate decarboxylase-like
7556,a/b three-layered sandwiches,Fe-only hydrogenase
3554,a+b duplicates or obligate multimers,protein of unknown function (eca1910)
3517,a+b complex topology,Polymerase acidic protein
3237,beta complex topology,Mainly beta domain in low-molecular-weight S-layer protein
3485,alpha arrays,Protein 2b
6047,beta barrels,N-terminal domain in DUF2118 family
3073,alpha arrays,ORF12 from Lactococcus lactis phage p2
3518,a+b two layers,putative RnfG subunit of electron transport complex
3552,alpha arrays,Pfam family PF09836 N-terminal domain
3551,alpha arrays,Pfam family PF09836 C-terminal domain
3509,a+b complex topology,RapA C-terminal domain
3511,a/b three-layered sandwiches,UPF0302 protein BA_1542/GBAA1542/BAS1430
3769,a+b three layers,Fibrinogen binding protein a+b domain
3069,alpha arrays,BART
3830,alpha bundles,Uncharacterized protein AF_0924
3606,alpha bundles,uncharacterized putative membrane protein yfdX
3516,alpha bundles,Putative imidazole glycerol phosphate synthase homolog (eubrec_1070)
864,a+b two layers,DLC
6045,a+b complex topology,C-terminal domain of BipA
3491,a+b two layers,Putative heterocyst differentiation inhibitor NpR1517
4072,a+b complex topology,BTG domain-like
3676,alpha duplicates or obligate multimers,RNA helicase Hera dimerization domain
3180,a+b two layers,LEE-encoded effector EspG N-terminal domain-related
3667,a+b two layers,LEE-encoded effector EspG C-terminal domain-related
4975,a/b three-layered sandwiches,CbiG linker domain
3501,a+b two layers,protein PCC1
3222,a+b complex topology,Regulatory domain of isocitrate dehydrogenase kinase/phosphatase
3502,alpha bundles,uncharacterized conserved protein
4949,alpha complex topology,PsV capsid protein
3492,a+b two layers,Chromosome partition protein mukE N-terminal domain
3949,alpha arrays,tRNA delta(2)-isopentenylpyrophosphate transferase helical insertion domain
3763,alpha bundles,protein of unknown function NP_951600.1 helical domain
3273,alpha arrays,Filamentous archaeal viruses coat proteins
3832,alpha bundles,Tumor necrosis factor alpha-induced protein 8-like protein 2
3083,beta barrels,Micronemal adhesive repeat
6070,few secondary structure elements,Sortilin C-terminal domain
3548,a+b complex topology,Mediator of RNA polymerase II transcription submodule Med7N/31
3496,alpha bundles,alpha-helical protein of unknown function (Pfam01724)
3318,alpha arrays,Middle domain in transcriptional anti-activator ExsD
3276,alpha arrays,N-terminal domain in MogR repressor
3490,extended segments,Colicin S4 translocation domain
3546,alpha arrays,Peroxisomal biogenesis factor 14 N-terminal domain
3494,alpha bundles,Putative ECF-type Sigma Factor Negative Effector
3547,a+b two layers,uncharacterised protein rbstp2171
3488,a+b three layers,Putative sensor histidine kinase domain
3087,few secondary structure elements,CDGSH iron-sulfur domains
4401,a+b complex topology,Domain II in tail sheath protein Gp18
3113,few secondary structure elements,Evasin-1
926,few secondary structure elements,HCV NS5A domain I subdomains
3068,a+b complex topology,Flagellar protein FlgA N-terminal domain-like
3291,alpha bundles,Charged multivesicular body protein 3 (CHMP3)-related
6124,extended segments,Ubc7p-binding domain of Cue1p
3610,a+b complex topology,Tetrahydrodipicolinate N-succinyletransferase N-terminal domain
3682,alpha duplicates or obligate multimers,IcmQ dimerization domain
3486,alpha bundles,Integron gene cassette protein HFX_CASS2-like
3487,a+b three layers,Integron cassette protein VCH_CASS3
3330,alpha arrays,Novel E3 ligase (NEL)
3283,a+b two layers,Nitrogen fixation protein
3661,extended segments,Integrin beta-1D cytoplasmic tail
3831,alpha bundles,Secreted protein of unknown function DUF1311
3314,extended segments,IBB domain
3080,a+b complex topology,Necrosis and ethylene-inducing peptide 1-like proteins
3239,alpha complex topology,Cas1
3240,alpha arrays,Intramolecular chaperone domain in virus tail spike protein
3084,a+b two layers,C-terminal domain of nonstructural protein nsp4
3312,a+b two layers,Domain 2 in immunoglobulin A protease
4107,alpha arrays,Jann2411-like
6035,alpha bundles,Primase helical domain
3249,beta sandwiches,beta-sandwich domain in YqeH GTPase
3091,a+b complex topology,Myosin VI cargo binding domain
3077,beta sandwiches,Heme-binding protein HmuY-related
6119,alpha bundles,Helical bundle domain in CusB
3076,alpha arrays,Putative triphosphoribosyl-dephospho-coA synthase
503,extended segments,N-terminal domain of bifunctional PutA protein
3794,a+b two layers,Methylcrotonyl-CoA carboxylase alpha-subunit BT domain-related
6082,beta sandwiches,N-terminal domain of BT_2081-like
3301,extended segments,Phoptry protein fragment
3139,a+b complex topology,pathogenicity island 3 ORF9 protein
3859,alpha arrays,uncharacterized protein BT_1490 C-terminal domain
3294,alpha complex topology,FAS type I helical domain
3322,alpha bundles,N-terminal domain in fatty acid synthase subunit beta
3323,alpha bundles,Inserted helical domain in fatty acid synthase subunit beta
3321,a+b two layers,Meander beta sheet domain in fatty acid synthase subunit beta
3335,beta barrels,Handle domain in transferrin-binding protein B
3307,a+b two layers,Domain in small RNA methyltransferase HEN1
3629,beta sandwiches,Tail sheath protein beta-sandwich domain
3619,alpha arrays,Nucleoporin NUP120 helical domain
3339,alpha bundles,Helical domain in glucansucrase GTF180
3290,alpha complex topology,Cytosolic helical domain in ferrous iron transport protein B
3348,a+b duplicates or obligate multimers,Putative pyruvate dehydrogenase
3096,mixed a+b and a/b,Integron Cassette Protein Hfx_Cass5
3140,alpha complex topology,Helical domain in ZWILCH
3095,extended segments,E-cadherin
3101,a+b two layers,Small outer capsid protein (Soc)
3123,a+b two layers,Nuclease AFV1-157
3299,a+b two layers,Heparin lyase I insertion domain
3089,a+b two layers,Integron cassette protein VCH_CASS14
3287,alpha duplicates or obligate multimers,Putative transposon-related DNA-binding protein dimerization domain
3132,alpha complex topology,Core protein VP6
7009,alpha bundles,Middle domain of hexon-associated protein (IIIa)
3329,alpha complex topology,Helical domain in outer capsid protein VP4
3258,a+b complex topology,Reovirus guanylyltransferase (GTase)
3259,a+b complex topology,Reovirus turret protein bridge domain
3672,a/b three-layered sandwiches,Small protrusion domain in cytoplasmic polyhedrosis virus capsid shell protein
3190,alpha arrays,Viral structural protein 5
3666,extended segments,30S ribosomal protein S21
1035,extended segments,Alpha-crystallin B chain N-terminal domain
3215,a+b complex topology,bacteriophage phiKZ gp29PR
3310,a+b two layers,Insertion domain in 60S ribosomal protein rpP0 (L10P)
7029,a+b complex topology,Insertion domain of minor capsid protein
6072,alpha arrays,Transmembrane domain of envelope protein E
3544,extended segments,Small envelope protein M
3555,a+b three layers,Major capsid protein GP7
3780,extended segments,NC100
3749,extended segments,26S proteasome regulatory subunits C-terminal helices
6110,alpha superhelices,Linker domain of cytoplasmic dynein heavy chain
3864,extended segments,Mitochondrial 54S ribosomal protein L28
3865,extended segments,Mitochondrial 54S ribosomal protein L27
3866,extended segments,Mitochondrial 54S ribosomal protein L25
3867,extended segments,Mitochondrial 54S ribosomal protein L31
3868,a+b three layers,Mitochondrial homologous recombination protein 1
3869,alpha arrays,Mitochondrial 54S ribosomal protein L2
3274,extended segments,N-terminal region in 40S ribosomal protein rpS2 (S5p)
3168,extended segments,40S ribosomal protein S30 (S30e)
3191,alpha duplicates or obligate multimers,RyR motifs
3942,alpha bundles,Smallest capsid protein (SCP)
1027,a+b complex topology,Outer capsid protein VP2 body domain
3733,a+b complex topology,Orbivirus outer capsid protein VP5
3970,extended segments,Mitoribosomal protein mS38
3966,a+b complex topology,Mitoribosomal protein mS22
3967,extended segments,Mitoribosomal protein mS26
3968,extended segments,Mitoribosomal protein mS31
3969,extended segments,Mitoribosomal protein mS33
1018,mixed a+b and a/b,Viral structural protein 4 N-terminal domain
3748,extended segments,26S proteasome regulatory subunit RPN8/RPN11 C-terminal domain
1043,beta complex topology,Beta domain of coronavirus spike glycoprotein
1042,a+b complex topology,S2 subunit of coronavirus spike glycoprotein
1084,extended segments,"Photosystem II reaction center W protein, chloroplastic"
3481,extended segments,TraN protein
3621,alpha arrays,Dipeptidyl-peptidase 2 helical domain
3233,beta sandwiches,Ig-like domain in putative lipoprotein BF3042-related proteins
3714,a+b two layers,Lon-like protease MtaLonC helical domain
3097,a+b two layers,Ribosome-associated factor Y
3764,alpha arrays,Repressor activator protein 1 (RAP1) helical bundle domain
3266,alpha arrays,Rap1 C-terminal domain
3618,beta complex topology,Flagellin beta sheet domain
3104,alpha bundles,Putative ubiquinone biosynthesis protein
3302,alpha arrays,Hypothetical protein
3251,a+b two layers,C-terminal domain in putative protease YP_001302526.1
3837,alpha bundles,Uncharacterized conserved protein Dip1984
3182,mixed a+b and a/b,a+b domains in a putative cell invasion protein
3103,alpha arrays,Uncharacterized protein yqbN
3241,alpha arrays,Golgi phosphoprotein 3
3102,beta sandwiches,hypothetical protein BT_3535
3288,a+b complex topology,Polymerase cofactor VP35 C-terminal RNA binding domain
1053,beta barrels,Factor H-binding protein (fHbp) N-terminal beta-barrel domain
3801,extended segments,ParE2-associated antitoxin 2 (PaaA2)
7566,a/b three-layered sandwiches,HflX family GTPase N-terminal domain
3477,extended segments,ExsE
3838,alpha arrays,SidM Rab1-activation domain
3839,alpha duplicates or obligate multimers,Viral phosphoprotein dimerization domain
3130,alpha arrays,DP domain
3232,alpha arrays,PB2 '627' domain-related
3120,mixed a+b and a/b,C-terminal domain of a hypothetical protein
525,a+b two layers,"Urease, gamma-subunit"
7530,a/b three-layered sandwiches,Replicase polyprotein 1a N-terminal macro-like domain
7098,alpha arrays,Replicase polyprotein 1a N-terminal helical domain
3229,alpha bundles,N-terminal domain in adenosine monophosphate-protein transferase vopS
6108,alpha bundles,Middle and GTPase effector domains in dynamin-related proteins
3124,beta sandwiches,Nascent polypeptide-associated complex (NAC) dimerization domain
3267,alpha arrays,N-terminal domain in putative methyltransferase PG_1098
3118,a+b two layers,C-terminal functional domain of REDD1
3138,extended segments,Clathrin light chain B
3257,a+b complex topology,Phosphoinositide phosphatase SAC1 N-terminal domain
3143,alpha complex topology,Rift Valley fever virus nucleocapsid protein-related
3127,beta sandwiches,Putative transcription regulator R01717-related
4344,a+b three layers,DeoB insert domain-like
3135,a+b two layers,Uncharacterized protein yciN
3137,extended segments,HIV-1 Tat
3350,alpha bundles,Peroxisomal biogenesis factor 3
3136,extended segments,Gle2-binding sequence (GLEBS) of Nup98
3347,beta meanders,Uncharacterized protein BF3112
3133,a+b two layers,Nuclease domain of PRRSV nonstructural protein Nsp1
3248,alpha complex topology,N-terminal domain in Lassa fever virus nucleoprotein
1054,alpha bundles,Arginine decarboxylase C-terminal helical extension
3453,a+b two layers,Glycoprotein E3
3234,a+b two layers,GerBC protein
3147,a+b two layers,Uncharacterized protein EF_1977
3293,beta barrels,LARA domain
3840,a+b two layers,Bacterial conjugation factor PsiB
3148,a+b two layers,putative secreted protein PA3611
3292,a+b complex topology,Adenine deaminase 2 C-terminal domain
3158,beta barrels,uncharacterized protein RUMGNA_01417
3675,a+b complex topology,DNA gyrase subunit B insertion domain
6090,alpha arrays,N-terminal domain of lytM
3162,a+b two layers,a functionally unknown protein from Leptospirillum sp. Group II UBA
3349,a+b two layers,DNA polymerase D large subunit DP2 N-terminal domain
3467,extended segments,Stage II sporulation protein SB
3245,extended segments,Chaotic nuclear migration protein 67
3308,beta duplicates or obligate multimers,periplasmic lysozyme inhibitor of I-type lysozyme-like
3286,alpha complex topology,Glypican insertion domain
3256,a+b two layers,DUF2233 N-terminal domain
6087,extended segments,N-terminal region of NMB0537
3472,alpha arrays,Uncharacterized protein
3461,alpha bundles,Spot 14 protein
3346,a+b two layers,N-terminal domain in ubiquitin-fold modifier 1 specific protease UfSP2
3341,beta sandwiches,N-terminal domain in a putative lipoprotein BACOVA_00967
3342,beta sandwiches,C-terminal domain in a putative lipoprotein BACOVA_00967
3719,alpha bundles,Imelysin peptidase-like
3338,a+b two layers,Fragilysin-3 prodomain-like
3289,alpha complex topology,Nck-associated protein 1/Cytoplasmic FMR1-interacting protein 1
3235,extended segments,Wiskott-Aldrich syndrome protein family member 1
3305,alpha bundles,Abl interactor 2
3315,a+b complex topology,Insertion domain in O-GlcNAc transferase
3172,a+b two layers,Uncharacterized protein gp49
6100,alpha bundles,Uncharacterized protein PP-LUZ7_gp033
3169,a+b two layers,Carboxyl terminal domain of human deltex 3-like
3280,a/b three-layered sandwiches,C-terminal domain in arabinosyltransferase C
6132,alpha bundles,Nudix hydrolase N-terminal dimerization domain
3449,a+b two layers,Cpn0803
6107,a+b two layers,a+b domain in platelet binding protein GspB
3176,alpha duplicates or obligate multimers,Head fiber protein gp8.5 fibrous portion
3420,beta meanders,Colicin-A N-terminal domain
3226,alpha complex topology,Uracil Transporter UraA
3227,alpha complex topology,phosphorylation-coupled saccharide transporter ChbC
3337,a+b duplicates or obligate multimers,Dimerization domain of heterocyst differentiation protein HetR
3412,a+b two layers,Factor H binding protein B (FhbB)
3463,extended segments,Holliday junction recognition protein N-terminal domain
3712,a+b complex topology,Mediator of RNA polymerase II transcription subunit 11
3559,a+b complex topology,Mediator of RNA polymerase II transcription subunit 22
3352,alpha bundles,STT3/PglB/AglB transmembrane domain
3207,alpha bundles,PmoA
3343,alpha complex topology,gamma-tubulin complex protein 4 (GCP4)
3561,a+b complex topology,Mediator of RNA polymerase II transcription subunit 17
3560,a+b complex topology,Mediator of RNA polymerase II transcription subunit 8
3195,extended segments,Mediator of RNA polymerase II transcription subunit 6
3456,extended segments,NADH-quinone oxidoreductase subunit A
3579,extended segments,NADH-quinone oxidoreductase subunit J
3843,alpha complex topology,NADH-quinone oxidoreductase subunit K
3281,alpha complex topology,Sodium/proton antiporter subunits-like
3200,beta complex topology,Read-through domain of A1 protein
3185,a+b two layers,uncharacterized protein Svir_20580
3263,alpha arrays,ATR1 N-terminal domain
3765,alpha arrays,N-terminal domain in some Dicers
3605,alpha bundles,Polarity suppression protein
3243,alpha complex topology,VopL dimerization domain
3457,alpha bundles,GxGD membrane protease
3304,a+b two layers,Cellular targeting domain in sucrose synthase-1
3500,alpha bundles,ENOD40 peptide-binding domain in sucrose synthase-1
3188,beta duplicates or obligate multimers,cyanobacterial Oscillatoria Agardhii Agglutinin (OAA)
3401,a+b complex topology,Envelope glycoprotein GP1
3782,a+b duplicates or obligate multimers,Envelope glycoprotein GP2-related
3298,a+b complex topology,Insertion domain in vaccinia virus scaffolding protein D13
3844,a+b two layers,hydrogenase expression protein-like
3704,alpha superhelices,Apoptotic protease-activating factor 1 (Apaf-1) helical domain
7597,a/b three-layered sandwiches,Endolysin C-terminal domain
3419,alpha bundles,Antitoxin VbhA
3710,alpha bundles,Golgi to ER traffic protein 1 cytosolic domain
3311,alpha arrays,Uncharacterized protein CV_1783
3705,alpha arrays,Bacterial chaperone lipoprotein (PulS_OutS)
3571,alpha arrays,Lettuce necrotic yellow virus phosphoprotein C-terminal domain
6159,extended segments,Nup54 C-terminal interacting domain
6158,alpha bundles,Nucleoporin p58/p45 helical region
3208,alpha arrays,RNA polymerase-associated protein Gp33
3681,a+b complex topology,Helical hairpin insertion in E. coli DNA-directed RNA polymerase beta subunit
1092,alpha arrays,Mimivirus sulfhydryl oxidase R596 ORFan domain
3001,alpha arrays,"Tetrahydrodipicolinate-N-succinlytransferase, N-terminal 3-helical domain"
1203,alpha bundles,Shroom domain 2
3415,alpha complex topology,Concentrative nucleoside transporter
1052,alpha bundles,Tas3 N-terminal domain
7600,a/b three-layered sandwiches,Chromo domain-containing protein 1 (Chp1) domain II
3282,a+b complex topology,LidA
6105,few secondary structure elements,Zinc finger domain in hydrogenase maturation protein HypF
3713,alpha bundles,Small terminase central domain
6173,beta barrels,V1/V2 domain in HIV gp120
3574,alpha complex topology,Nucleocapsid protein
6069,extended segments,Ribosomal protein L41-A
3706,alpha bundles,Conserved type six secretion component TssL-related
3408,beta duplicates or obligate multimers,Fibroin heavy chain N-terminal domain
3622,beta meanders,Surface-exposed lipoprotein adhesin JlpA
3762,alpha arrays,Poly(ADP-ribose) glycohydrolase helical domain
3219,extended segments,E3 SUMO-protein ligase RanBP2 fragment
3578,beta sandwiches,Third domain in metalloprotease StcE
3624,few secondary structure elements,CRISPR RNA silencing complex Cmr2 subunit Zn-binding domain
3626,alpha bundles,CRISPR RNA silencing complex Cmr2 subunit first helical domain
3625,alpha bundles,CRISPR RNA silencing complex Cmr2 subunit second helical domain
3216,a+b two layers,Uncharacterized protein Q2S0R5
3543,alpha complex topology,Acid-activated urea channel
3385,beta barrels,Allergen Alt a 1
1138,alpha bundles,Effector protein NleF
3745,alpha bundles,Sodium/Calcium exchanger
3402,a+b complex topology,DUF2666 family proteins
3577,alpha arrays,Macrodomain Ter protein MatP
3668,alpha arrays,Negative regulator RsdA N-terminal domain
3213,a+b two layers,hypothetical protein TTHB210
3351,a/b three-layered sandwiches,Atg7 N-terminal domain-like
3392,a+b two layers,Cytoplasmic domain of BfpC
7505,a/b three-layered sandwiches,Kinesin-like protein KIF23 C-terminal domain
3452,a+b complex topology,P9-1
3410,alpha arrays,DNA mimic protein DMP19
6111,a+b complex topology,C-terminal domain of cytoplasmic dynein heavy chain
3590,a+b complex topology,Tomato mosaic virus helicase N-terminal domain
3400,a+b complex topology,Membrane-associated protein VP24
3409,a+b duplicates or obligate multimers,Vacuolar protein sorting-associated protein 30 BARA domain
7594,a/b three-layered sandwiches,Hydrogenase expression/formation protein HypD
3845,few secondary structure elements,HypD Fe-S cluster binding domain
6130,alpha complex topology,Selenocysteine synthase N-terminal domain
3730,alpha arrays,CCM3/GCKIII dimerization domain
3752,a+b complex topology,L-Lys epsilon-oxidase C-terminal domain
6140,alpha superhelices,Cdc45-Binding Domain in Sld3/Treslin
3880,beta barrels,Glycoside hydrolase family 127 C-terminal domain
3877,alpha bundles,Membrane protein insertase YidC-related
6151,alpha bundles,Helical bundle domain in S46 peptidase
1134,alpha bundles,C-terminal helical domain of alanine-tRNA ligase
7598,a/b three-layered sandwiches,Resistance protein Tm-1 first domain
3959,alpha duplicates or obligate multimers,Protein Hikeshi dimerization domain
3980,alpha arrays,Protein C'
6141,a+b two layers,DNA Mimic Protein Arn
1014,alpha arrays,AopB
3983,a/b three-layered sandwiches,CRISPR-associated Csx3
3572,a+b complex topology,Cascade subunit Csa5
3715,a+b two layers,Ribosomal protein L22e
6120,beta barrels,Pestivirus Npro endopeptidase C53
3740,alpha arrays,F420-reducing hydrogenase subunit beta
3368,alpha bundles,Rap2b (SMA2266)
3218,a+b duplicates or obligate multimers,small terminase oligomerization domain
3252,alpha arrays,SHQ1 C-terminal domain-like
3377,a+b two layers,Diedel
3565,alpha bundles,Na/H pumping membrane integral pyrophosphatase
3447,alpha bundles,Isoprenylcysteine carboxyl methyltransferase (ICMT)
3360,extended segments,Translation machinery-associated protein 46 DFRP domain
3792,beta sandwiches,26S proteasome subunit Rpn2 C-terminal domain
3369,beta meanders,lysosome-associated membrane protein LAMP-3
3616,alpha bundles,ExoU toxin middle helical domain
3576,a+b complex topology,Cas8-like
3356,extended segments,regulatory domain of a plasma-membrane Ca2+-ATPase
3612,a+b two layers,Pesticin N-terminal domain
6067,alpha arrays,Dimerization domain of Sgt2
3439,a+b two layers,PafA/Dop C-terminal domain
3563,alpha bundles,Twin arginine protein translocation system component TatC
522,a+b two layers,Bacteriochlorophyll A protein
6175,a+b two layers,Insertion domain in phosphocholine transferase AnkX
3870,alpha bundles,Complement regulator-acquiring surface protein 2 (CRASP-2)
3644,alpha complex topology,Leanyer virus nucleoprotein-related
3770,alpha arrays,Flax-rust effector AvrM
3785,a+b three layers,"Suppressor of Fused, C-terminal domain"
3680,a+b complex topology,Zinc finger FYVE domain-containing protein 9 C-terminal domain
6129,beta barrels,Repulsive guidance molecule (RGM) family
3777,alpha bundles,Prolyl 4-hydroxylase alpha subunit dimerization domain
3738,a+b complex topology,Major inner capsid protein P1
3751,extended segments,Antiviral helicase Ski2 N-terminal extended region
3878,extended segments,Multidrug efflux pump accessory protein AcrZ
1076,alpha bundles,Intramembrane protease Rce1-related
3819,alpha complex topology,CRISPR-associated endonuclease Cas9 alpha-helical lobe
3820,a+b complex topology,CRISPR-associated endonuclease Cas9 C-terminal domain
3881,alpha bundles,CNOT9 binding domain CN9BD (DUF3819)
3960,alpha arrays,Aminoglycoside adenyltransferase AadA C-terminal domain
3851,alpha arrays,OrfY
6162,extended segments,CRY-binding domain of PER
3863,beta barrels,Virulence associated protein B (Vapb)
1016,alpha arrays,Dimerization domain in caprin-1 and PAN3
3944,alpha duplicates or obligate multimers,DNTTIP1 dimerisation domain
3600,alpha bundles,uncharacterized protein SYNW0670
6064,few secondary structure elements,EAGR box containing domain in MG200
3403,alpha bundles,Pre-mRNA-splicing factor PRP9
3413,alpha bundles,Inositol phosphate phosphatase sopB N-terminal domain
3592,alpha bundles,Oncogenic effector CagA N-terminal domain
3593,a+b complex topology,Oncogenic effector CagA meander beta sheet domain
3594,alpha bundles,Oncogenic effector CagA domain III
3380,a+b duplicates or obligate multimers,Dimerization domain of Lsr2
3389,a+b two layers,hypothetical protein SAV0303
3398,a/b three-layered sandwiches,STING C-terminal domain
7591,a/b three-layered sandwiches,Tetraacyldisaccharide 4'-kinase C-terminal domain
3367,beta complex topology,"C-terminal domain in bacteriophage C1 tail knob protein, gp12"
3397,a+b complex topology,Tic22
3388,a+b two layers,C-terminal domain in CigR
3653,a+b two layers,Salmon anemia virus nucleoprotein N-terminal domain
3375,beta barrels,Single-stranded DNA-binding protein DdrB
3846,alpha bundles,IcmR
6080,alpha arrays,Insertion domain in lpg1103-like
3382,alpha arrays,Protein Wnt-8
3355,alpha complex topology,dicarboxylate/sodium symporter
3374,a+b complex topology,spore cortex-lytic enzyme catalytic domain
3775,beta barrels,Lysosome membrane protein 2 lumenal domain
3376,a+b three layers,PlyCB
3372,beta barrels,hypothetical protein PA3229
3753,few secondary structure elements,hypothetical protein NE1300
3379,extended segments,Photosystem II reaction center protein ycf12
3371,few secondary structure elements,Regulator of transcription protein Rtr1
3381,alpha arrays,C-terminal domain of the type III effector Xcv3220 (XopL)
3391,a+b two layers,C-terminal domain in a functionally unknown conserved protein
3597,beta sandwiches,Starch specific carbohydrate-binding modules
3729,alpha arrays,Legumain prodomain
3627,alpha bundles,UDP-galactofuranosyl transferase GlfT2 helical domain
1194,few secondary structure elements,C4H2C2-type zinc finger
3608,alpha bundles,Surface antigen HP0197 N-terminal domain
3850,few secondary structure elements,Protein-only RNase P Zn-binding domain
3366,alpha arrays,C-terminal domain in hypothetical protein lpg2210
3632,a+b complex topology,Phage G1 gp67
6089,alpha arrays,Helical domain in EC869 CdiA
3365,beta barrels,N-terminal domain of minor coat protein pIII
6071,extended segments,Transmembrane helix of nickel-iron hydrogenase small subunit
3362,extended segments,Fusion glycoprotein F2
3359,a+b two layers,hypothetical protein RUMGNA_01148-related
3757,extended segments,AF1503 pre-HAMP domain
3596,a+b complex topology,nsP3 zinc-binding domain
3566,beta sandwiches,hypothetical protein BA_2335
6103,alpha bundles,Death domain-associated protein 6 histone binding domain
3789,beta barrels,Rubella virus capsid protein C-terminal domain
3848,alpha bundles,Uncharacterized protein lpg1851
3598,a/b three-layered sandwiches,Cellulose Synthase Subunit B a/b domain
3562,alpha bundles,Calcium release-activated calcium channel protein 1
3541,beta sandwiches,Atg29-Atg31
3630,alpha bundles,Nicking enzyme middle helical domain
3631,alpha bundles,Nicking enzyme C-terminal helical domain
3646,alpha complex topology,T-component of energy-coupling factor (ECF) transporters
3634,alpha bundles,LepB GAP domain N-terminal subdomain
3635,alpha bundles,LepB GAP domain C-terminal subdomain
3783,alpha bundles,Toxin RnlA C-terminal domain
6102,alpha arrays,"N-terminal domain of segregation and condensation protein A, ScpA"
3955,alpha arrays,Sir2 N-terminal domain
6098,a+b two layers,BACOVA_05496-like
3735,beta meanders,Rearrangement hotspot (RHS) repeats protein
3796,alpha arrays,Iron-regulated surface determinant protein H linker domain
6106,extended segments,"Photosystem II protein Y, psbY"
6113,alpha duplicates or obligate multimers,Dimerization element domain in modular polyketide synthases
6109,a+b two layers,N-terminal domain of chitin biosynthesis protein CHS6
3855,alpha arrays,Serum amyloid A-1 protein
3637,alpha complex topology,C-terminal domain of the DNA polymerase III subunit tau
3649,beta sandwiches,Cellulose-binding protein CttA N-terminal domain
3754,alpha bundles,Bacterial cell wall synthesis membrane enzyme MraY-related
3728,alpha superhelices,Surface cell antigen Sca2 helical repeats
3727,alpha arrays,Hsc70-interacting protein dimerization domain
3700,beta duplicates or obligate multimers,Immunodominant antigen Pgp3 N-terminal domain
3701,extended segments,Immunodominant antigen Pgp3 helical domain
6123,alpha bundles,Fluorescence recovery protein
3771,a+b two layers,Central kinetochore subunit CHL4 C-terminal domain
3778,alpha arrays,Magnetochrome domain
3643,a+b complex topology,hypothetical protein BF0379 C-terminal domain
3871,alpha duplicates or obligate multimers,PHIST
6122,a+b two layers,N-terminal domain of spumavirus gag protein
3756,a+b complex topology,Diiron beta-hydroxylase CmlA N-terminal domain
3737,alpha duplicates or obligate multimers,Major allergen Bla g 1 tandem repeats
3641,a+b two layers,putative cell adhesion protein BACOVA_01548 insertion domain
3723,alpha arrays,Phosphoinositide phosphatase insertion helical domain
3724,alpha arrays,Phosphoinositide phosphatase C-terminal helical domain
3647,beta sandwiches,Hypothetical Protein lmo2686
1055,a/b three-layered sandwiches,N-terminal domain in NTD biosynthesis operon protein NtdA
3852,alpha superhelices,UL37 N-terminal half
3841,alpha bundles,Lv-ranaspumin (Lv-RSN-1)
3835,alpha bundles,Type I hyperactive antifreeze protein
3708,a+b three layers,ESX-1 secretion system protein eccB1 modular domains
3709,a+b two layers,ESX-1 secretion system protein eccB1 linker domains
3726,alpha bundles,RILP-like protein 2 N-terminal helical hairpin domain
3707,a+b two layers,SdbC C-terminal domain
3736,alpha superhelices,NLRC4 helical domain HD2
3721,alpha bundles,Protein regulator of cytokinesis 1 (PRC1) dimerization domain
3722,alpha bundles,Protein regulator of cytokinesis 1 (PRC1) rod domain
3573,alpha arrays,Histone RNA hairpin-binding protein RNA-binding domain
3725,a+b complex topology,Hypothetical protein BT3222 N-terminal domain
3742,a+b two layers,hypothetical protein DESPIG_00776
6161,a+b two layers,Uncharacterized virus protein A-100
3773,few secondary structure elements,E3 ligase HOIP C-terminal domain
3750,beta sandwiches,Surface cell antigen (sca) N-terminal domain
3743,a+b two layers,"L,D-transpeptidase C-terminal domain"
3772,beta sandwiches,Putative anti-sigma factor BDI_1681 N-terminal domain
3901,a+b complex topology,Hypothetical protein lpg2422 after-hydrolase domain
3886,alpha duplicates or obligate multimers,Virulence factor sHIP
6152,alpha arrays,Helical domain in Orf11
3759,alpha arrays,Antitermination protein Q helical domain
3776,beta sandwiches,DNA-entry nuclease inhibitor
1083,a+b duplicates or obligate multimers,Phage T4 gp12 N-terminal repeating units
3790,alpha duplicates or obligate multimers,N-terminal domain of effector protein LegC3
6148,few secondary structure elements,N-terminal domain of EpCAM
3800,a+b two layers,Virion infectivity factor Vif
3924,alpha complex topology,Sterol uptake control protein 2
3791,alpha arrays,EDS1-PAD4 (EP) domain
3919,alpha duplicates or obligate multimers,N-terminal domain of COMMD9
3853,a+b two layers,Oxalate Biosynthetic Component A (ObcA) insertion domains
3847,alpha bundles,Hemagglutinin HA2 chain
3223,beta sandwiches,Amiloride-sensitive cation channel 2
3798,a+b complex topology,Putative lipoprotein BA_2398
